Target Feature,MSE,RMSE,MAE,MAPE,R2
PM2.5,27207.941,164.9483,151.15796,279.2150020599365,-1.195634666870577
PM10,23591.658,153.59576,109.18219,68.97914409637451,0.21077890496164842
RH,1186.1023,34.439835,30.48662,58.35893750190735,-2.332376524881732
SR,170083.72,412.41208,365.36,inf,-2.1940890098187493
